"filename", "language", "JSON", "JSON with Comments", "TypeScript JSX", "XML", "JavaScript JSX", "TypeScript", "CSS", "JavaScript", "Draw.io", "Markdown", "comment", "blank", "total"
"/home/ishaan/Documents/projects/Raisearch/raisearch/src/app/layout.tsx", "TypeScript JSX", 0, 0, 46, 0, 0, 0, 0, 0, 0, 0, 1, 6, 53
"/home/ishaan/Documents/projects/Raisearch/raisearch/src/app/login/actions.ts", "TypeScript", 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 2, 8, 28
"/home/ishaan/Documents/projects/Raisearch/raisearch/src/app/login/page.tsx", "TypeScript JSX", 0, 0, 61, 0, 0, 0, 0, 0, 0, 0, 8, 2, 71
"/home/ishaan/Documents/projects/Raisearch/raisearch/src/app/page.tsx", "TypeScript JSX", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8
"/home/ishaan/Documents/projects/Raisearch/raisearch/src/app/paper-assistant/[user_id]/[paper_id]/page.tsx", "TypeScript JSX", 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 3, 9, 41
"/home/ishaan/Documents/projects/Raisearch/raisearch/src/app/paper-assistant/[user_id]/page.tsx", "TypeScript JSX", 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 3, 10, 42
"/home/ishaan/Documents/projects/Raisearch/raisearch/src/app/paper-assistant/page.tsx", "TypeScript JSX", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 29, 11, 45
"/home/ishaan/Documents/projects/Raisearch/raisearch/src/app/private/page.tsx", "TypeScript JSX", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 4, 14
"/home/ishaan/Documents/projects/Raisearch/raisearch/src/app/signup/actions.ts", "TypeScript", 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 2, 8, 28
"/home/ishaan/Documents/projects/Raisearch/raisearch/src/app/signup/page.tsx", "TypeScript JSX", 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 8, 2, 65
"/home/ishaan/Documents/projects/Raisearch/raisearch/src/app/test-topics/page.tsx", "TypeScript JSX", 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 8, 44
"/home/ishaan/Documents/projects/Raisearch/raisearch/src/components/AIAssistantTab.tsx", "TypeScript JSX", 0, 0, 72, 0, 0, 0, 0, 0, 0, 0, 2, 12, 86
