"filename", "language", "TypeScript", "Markdown", "JSON", "Draw.io", "JSON with Comments", "TypeScript JSX", "XML", "CSS", "JavaScript", "comment", "blank", "total"
"/home/ishaan/Documents/projects/Raisearch/raisearch/src/components/ModeToggle.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 5, 41
"/home/ishaan/Documents/projects/Raisearch/raisearch/src/components/PaperForm/PaperForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 5, 23
"/home/ishaan/Documents/projects/Raisearch/raisearch/src/components/PapersTable.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 61, 0, 0, 0, 0, 6, 67
"/home/ishaan/Documents/projects/Raisearch/raisearch/src/components/PromptSubmissionForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 96, 0, 0, 0, 5, 10, 111
"/home/ishaan/Documents/projects/Raisearch/raisearch/src/components/TextViewer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 62, 0, 0, 0, 0, 12, 74
"/home/ishaan/Documents/projects/Raisearch/raisearch/src/components/theme-provider.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 3, 12
"/home/ishaan/Documents/projects/Raisearch/raisearch/src/components/ui/button.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 54, 0, 0, 0, 0, 6, 60
"/home/ishaan/Documents/projects/Raisearch/raisearch/src/components/ui/card.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 83, 0, 0, 0, 0, 10, 93
"/home/ishaan/Documents/projects/Raisearch/raisearch/src/components/ui/dropdown-menu.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 239, 0, 0, 0, 0, 19, 258
"/home/ishaan/Documents/projects/Raisearch/raisearch/src/components/ui/input.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 4, 22
"/home/ishaan/Documents/projects/Raisearch/raisearch/src/components/ui/label.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 5, 25
"/home/ishaan/Documents/projects/Raisearch/raisearch/src/components/ui/navigation-menu.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 157, 0, 0, 0, 0, 12, 169
"/home/ishaan/Documents/projects/Raisearch/raisearch/src/components/ui/sonner.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 5, 26
"/home/ishaan/Documents/projects/Raisearch/raisearch/src/components/ui/textarea.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 4, 19
"/home/ishaan/Documents/projects/Raisearch/raisearch/src/lib/db_service.ts", "TypeScript", 90, 0, 0, 0, 0, 0, 0, 0, 0, 27, 17, 134
"/home/ishaan/Documents/projects/Raisearch/raisearch/src/lib/llmService.ts", "TypeScript", 150, 0, 0, 0, 0, 0, 0, 0, 0, 31, 17, 198
"/home/ishaan/Documents/projects/Raisearch/raisearch/src/lib/parse_pdf.ts", "TypeScript", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"/home/ishaan/Documents/projects/Raisearch/raisearch/src/lib/search.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 21
"/home/ishaan/Documents/projects/Raisearch/raisearch/src/lib/utils.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"/home/ishaan/Documents/projects/Raisearch/raisearch/src/middleware.ts", "TypeScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 7, 3, 20
"/home/ishaan/Documents/projects/Raisearch/raisearch/tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 1, 34
"/home/ishaan/Documents/projects/Raisearch/raisearch/utils/supabase/client.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"/home/ishaan/Documents/projects/Raisearch/raisearch/utils/supabase/middleware.ts", "TypeScript", 42, 0, 0, 0, 0, 0, 0, 0, 0, 17, 9, 68
"/home/ishaan/Documents/projects/Raisearch/raisearch/utils/supabase/server.ts", "TypeScript", 24, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 30
"Total", "-", 537, 6, 3322, 221, 33, 1268, 5, 125, 4, 175, 396, 6092
